"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2018","7,781.52","7,764.15","7,806.60","7,755.48","513.78M","0.72%"
"Jun 19, 2018","7,725.59","7,658.47","7,727.41","7,635.73","577.30M","-0.28%"
"Jun 18, 2018","7,747.02","7,692.96","7,749.36","7,676.83","522.21M","0.01%"
"Jun 15, 2018","7,746.38","7,725.03","7,755.72","7,704.34","1.22B","-0.19%"
"Jun 14, 2018","7,761.04","7,723.53","7,768.60","7,723.53","532.09M","0.85%"
"Jun 13, 2018","7,695.70","7,713.90","7,748.96","7,686.65","552.68M","-0.11%"
"Jun 12, 2018","7,703.79","7,673.87","7,708.25","7,669.53","474.86M","0.57%"
"Jun 11, 2018","7,659.93","7,647.23","7,677.29","7,642.87","451.37M","0.19%"
"Jun 08, 2018","7,645.51","7,607.73","7,653.57","7,595.14","467.61M","0.14%"
"Jun 07, 2018","7,635.07","7,697.41","7,697.41","7,597.66","505.79M","-0.70%"
"Jun 06, 2018","7,689.24","7,652.81","7,691.65","7,622.31","502.98M","0.67%"
"Jun 05, 2018","7,637.86","7,621.36","7,644.48","7,602.38","480.10M","0.41%"
"Jun 04, 2018","7,606.46","7,570.08","7,607.17","7,561.20","527.78M","0.69%"
"Jun 01, 2018","7,554.33","7,487.66","7,557.38","7,487.23","523.74M","1.51%"
