"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 16, 2018","25,064.36","25,025.58","25,072.41","24,979.64","231.27M","0.18%"
"Jul 13, 2018","25,019.41","24,926.07","25,043.21","24,890.06","255.52M","0.38%"
"Jul 12, 2018","24,924.89","24,802.90","24,939.97","24,802.90","233.16M","0.91%"
"Jul 11, 2018","24,700.45","24,789.48","24,815.16","24,663.82","237.37M","-0.88%"
"Jul 10, 2018","24,919.66","24,806.97","24,945.38","24,806.97","235.04M","0.58%"
"Jul 09, 2018","24,776.59","24,519.20","24,796.52","24,518.43","240.58M","1.31%"
"Jul 06, 2018","24,456.48","24,352.47","24,520.29","24,281.47","219.45M","0.41%"
"Jul 05, 2018","24,356.74","24,285.82","24,372.80","24,177.44","237.67M","0.75%"
"Jul 03, 2018","24,174.82","24,359.39","24,444.88","24,150.85","160.96M","-0.54%"
"Jul 02, 2018","24,307.18","24,161.53","24,319.42","24,077.56","244.11M","0.15%"
"Jun 29, 2018","24,271.41","24,323.93","24,509.52","24,269.71","329.07M","0.23%"
"Jun 28, 2018","24,216.05","24,064.19","24,308.16","23,997.21","305.02M","0.41%"
"Jun 27, 2018","24,117.59","24,303.11","24,569.02","24,115.82","313.79M","-0.68%"
"Jun 26, 2018","24,283.11","24,281.89","24,384.21","24,241.22","301.13M","0.12%"
"Jun 25, 2018","24,252.80","24,463.73","24,463.73","24,084.39","439.13M","-1.33%"
"Jun 22, 2018","24,580.89","24,526.97","24,663.18","24,526.97","473.96M","0.49%"
"Jun 21, 2018","24,461.70","24,639.21","24,639.21","24,406.63","349.57M","-0.80%"
"Jun 20, 2018","24,657.80","24,771.17","24,804.76","24,628.39","359.52M","-0.17%"
"Jun 19, 2018","24,700.21","24,763.59","24,763.59","24,567.75","376.38M","-1.15%"
"Jun 18, 2018","24,987.47","24,944.28","25,003.10","24,825.77","337.07M","-0.41%"
"Jun 15, 2018","25,090.48","25,116.71","25,130.82","24,894.38","659.37M","-0.34%"
"Jun 14, 2018","25,175.31","25,254.65","25,332.50","25,138.60","341.17M","-0.10%"
"Jun 13, 2018","25,201.20","25,328.65","25,362.07","25,191.42","329.70M","-0.47%"
"Jun 12, 2018","25,320.73","25,346.82","25,364.37","25,247.04","265.75M","-0.01%"
"Jun 11, 2018","25,322.31","25,336.67","25,402.83","25,290.20","276.74M","0.02%"
"Jun 08, 2018","25,316.53","25,209.29","25,325.63","25,165.70","317.51M","0.30%"
"Jun 07, 2018","25,241.41","25,192.14","25,326.09","25,164.48","357.68M","0.38%"
"Jun 06, 2018","25,146.39","24,854.14","25,146.46","24,854.14","316.09M","1.40%"
"Jun 05, 2018","24,799.98","24,820.12","24,838.78","24,710.82","306.34M","-0.06%"
"Jun 04, 2018","24,813.69","24,727.55","24,859.37","24,722.14","340.40M","0.72%"
"Jun 01, 2018","24,635.21","24,542.09","24,673.60","24,542.09","315.71M","0.90%"
