"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2018","1,298.90","1,299.30","1,302.00","1,295.20","0.07K","0.06%"
"Jun 08, 2018","1,298.10","1,295.30","1,299.40","1,294.80","0.65K","-0.05%"
"Jun 07, 2018","1,298.70","1,298.40","1,302.80","1,296.20","0.08K","0.12%"
"Jun 06, 2018","1,297.10","1,296.10","1,300.40","1,294.10","0.37K","-0.03%"
"Jun 05, 2018","1,297.50","1,292.10","1,299.80","1,289.90","0.36K","0.34%"
"Jun 04, 2018","1,293.10","1,293.90","1,297.10","1,290.00","0.14K","-0.13%"
"Jun 01, 2018","1,294.80","1,298.60","1,299.50","1,288.90","0.66K","-0.41%"
"May 31, 2018","1,300.10","1,301.00","1,306.80","1,296.60","4.08K","-0.11%"
"May 30, 2018","1,301.50","1,298.00","1,303.70","1,295.20","50.85K","0.22%"
"May 29, 2018","1,298.70","1,298.70","1,298.70","1,298.70","0.00K","0.08%"
"May 28, 2018","1,297.60","1,298.40","1,299.70","1,294.70","-","-0.05%"
"May 27, 2018","1,298.30","1,299.80","1,299.90","1,296.10","-","-0.38%"
"May 25, 2018","1,303.30","1,303.30","1,303.30","1,303.30","0.00K","-0.03%"
"May 24, 2018","1,303.70","1,303.70","1,303.70","1,303.70","-","1.12%"
"May 23, 2018","1,289.30","1,289.30","1,289.30","1,289.30","0.01K","-0.19%"
"May 22, 2018","1,291.70","1,291.70","1,291.70","1,291.70","0.05K","0.12%"
"May 21, 2018","1,290.20","1,287.40","1,292.10","1,287.40","0.05K","0.00%"
"May 18, 2018","1,290.20","1,285.20","1,289.60","1,285.20","0.00K","0.16%"
"May 17, 2018","1,288.20","1,291.30","1,291.30","1,290.70","0.00K","-0.16%"
"May 16, 2018","1,290.20","1,290.90","1,294.00","1,285.40","0.03K","0.10%"
"May 15, 2018","1,288.90","1,304.60","1,304.70","1,290.30","0.01K","-2.10%"
"May 14, 2018","1,316.50","1,319.90","1,319.90","1,317.90","0.00K","-0.19%"
"May 11, 2018","1,319.00","1,319.00","1,319.00","1,319.00","0.00K","-0.14%"
"May 10, 2018","1,320.80","1,312.20","1,318.00","1,312.20","0.01K","0.72%"
"May 09, 2018","1,311.30","1,311.30","1,311.30","1,311.30","0.07K","-0.05%"
"May 08, 2018","1,312.00","1,310.10","1,310.20","1,308.50","0.34K","-0.02%"
"May 07, 2018","1,312.20","1,310.60","1,312.50","1,310.20","0.00K","-0.04%"
"May 04, 2018","1,312.70","1,312.70","1,312.70","1,312.70","-","0.15%"
"May 03, 2018","1,310.70","1,310.70","1,310.70","1,310.70","0.00K","0.62%"
"May 02, 2018","1,302.60","1,309.00","1,309.30","1,303.70","0.02K","-0.09%"
"May 01, 2018","1,303.80","1,313.20","1,313.80","1,303.40","0.03K","-0.94%"
"Apr 30, 2018","1,316.20","1,309.60","1,313.30","1,309.60","0.05K","-0.31%"
"Apr 27, 2018","1,320.30","1,315.30","1,321.70","1,312.80","0.62K","0.30%"
"Apr 26, 2018","1,316.30","1,315.70","1,315.80","1,315.70","0.01K","-0.37%"
"Apr 25, 2018","1,321.20","1,324.00","1,325.00","1,320.00","0.28K","-0.77%"
"Apr 24, 2018","1,331.40","1,326.40","1,331.70","1,326.20","0.03K","0.67%"
"Apr 23, 2018","1,322.50","1,334.00","1,334.40","1,323.50","0.07K","-1.06%"
"Apr 20, 2018","1,336.70","1,342.50","1,343.40","1,335.30","0.31K","-0.75%"
"Apr 19, 2018","1,346.80","1,348.60","1,355.20","1,341.60","0.39K","-0.33%"
"Apr 18, 2018","1,351.20","1,343.50","1,354.20","1,343.50","0.05K","0.30%"
"Apr 17, 2018","1,347.20","1,348.00","1,348.10","1,339.00","0.41K","-0.02%"
"Apr 16, 2018","1,347.50","1,341.00","1,348.80","1,341.00","0.06K","0.20%"
"Apr 13, 2018","1,344.80","1,335.90","1,346.00","1,335.90","0.07K","0.48%"
"Apr 12, 2018","1,338.40","1,351.20","1,351.50","1,334.60","0.03K","-1.33%"
"Apr 11, 2018","1,356.50","1,340.10","1,365.40","1,340.10","0.12K","1.08%"
"Apr 10, 2018","1,342.00","1,335.20","1,341.00","1,333.00","0.11K","0.43%"
