2018-05-09,0.75,1.00,0.97,-0.05,-0.12,-1:No
2018-05-08,0.01,0.02,-0.03,-0.02,-0.49,-1:No
2018-05-07,0.39,0.77,0.35,-0.04,-0.32,-1:No
2018-05-04,1.39,1.71,1.28,0.15,-0.23,-1:No
2018-05-03,0.02,-0.18,-0.23,0.62,0.31,1:Yes
2018-05-02,-0.72,-0.42,-0.72,-0.09,-0.35,-1:No
2018-05-01,-0.27,0.91,0.25,-0.94,-0.71,-1:No
2018-04-30,-0.61,-0.75,-0.82,-0.31,-0.42,-1:No
2018-04-27,-0.05,0.02,0.11,0.30,0.22,1:Yes
2018-04-26,0.99,1.64,1.04,-0.37,-0.48,-1:No
2018-04-25,0.25,-0.05,0.18,-0.77,-0.58,-1:No
2018-04-24,-1.74,-1.70,-1.34,0.67,0.19,1:Yes
2018-04-23,-0.06,-0.25,0.01,-1.06,-0.64,-1:No
2018-04-20,-0.82,-1.27,-0.85,-0.75,-0.47,-1:No
2018-04-19,-0.34,-0.78,-0.57,-0.33,-0.22,-1:No
2018-04-18,-0.16,0.19,0.08,0.30,0.02,1:Yes
2018-04-17,0.87,1.74,1.07,-0.02,-0.08,-1:No
2018-04-16,0.87,0.70,0.81,0.20,0.40,1:Yes
2018-04-13,-0.50,-0.47,-0.29,0.48,0.03,1:Yes
2018-04-12,1.21,1.01,0.83,-1.33,-0.32,-1:No
2018-04-11,-0.90,-0.36,-0.55,1.08,0.09,1:Yes
2018-04-10,1.79,2.07,1.67,0.43,0.28,1:Yes
2018-04-09,0.19,0.51,0.33,0.33,0.31,1:Yes
2018-04-06,-2.34,-2.28,-2.19,0.57,0.35,1:Yes
2018-04-05,0.99,0.49,0.69,-0.86,-0.31,-1:No
2018-04-04,0.96,1.45,1.16,0.23,0.07,1:Yes
2018-04-03,1.65,1.04,1.26,-0.69,-0.26,-1:No
2018-04-02,-1.90,-2.74,-2.23,1.46,-0.17,-1:No
2018-03-29,1.07,1.64,1.38,-0.11,-0.05,-1:No
2018-03-28,-0.04,-0.85,-0.29,-1.27,-0.77,-1:No
2018-03-27,-1.43,-2.93,-1.73,-0.97,-0.32,-1:No
2018-03-26,2.84,3.26,2.72,0.38,0.73,1:Yes
2018-03-23,-1.77,-2.43,-2.10,1.71,0.41,1:Yes
2018-03-22,-2.93,-2.43,-2.52,0.45,-0.29,-1:No
2018-03-21,-0.18,-0.26,-0.18,0.73,0.78,1:Yes
2018-03-20,0.47,0.27,0.15,-0.43,-0.75,-1:No
2018-03-19,-1.35,-1.84,-1.42,0.42,0.37,1:Yes
2018-03-16,0.29,0.00,0.17,-0.42,-0.13,-1:No
2018-03-15,0.47,-0.20,-0.08,-0.57,-0.50,-1:No
2018-03-14,-1.00,-0.19,-0.57,-0.11,-0.19,-1:No
2018-03-13,-0.68,-1.02,-0.64,0.49,0.45,1:Yes
2018-03-12,-0.62,0.36,-0.13,-0.23,0.22,1:Yes
2018-03-09,1.77,1.79,1.74,0.19,-0.04,-1:No
2018-03-08,0.38,0.42,0.45,-0.46,-0.81,-1:No
2018-03-07,-0.33,0.33,-0.05,-0.57,0.07,1:Yes
2018-03-06,0.04,0.56,0.26,1.18,0.55,1:Yes
2018-03-05,1.37,1.00,1.10,-0.23,0.15,1:Yes
