2018-10-22,18:02:58,-0.17,+0.69,-0.03,+0.04,-0.39
2018-10-22,18:03:08,-0.17,+0.70,-0.02,+0.03,-0.39
2018-10-22,18:03:19,-0.17,+0.72,-0.03,+0.03,-0.39
2018-10-22,18:03:30,-0.17,+0.72,-0.03,+0.03,-0.39
2018-10-22,18:03:40,-0.17,+0.74,-0.04,+0.04,-0.39
2018-10-22,18:03:52,-0.17,+0.72,-0.03,+0.03,-0.39
2018-10-22,18:04:02,-0.14,+0.74,-0.03,+0.04,-0.39
2018-10-22,18:04:13,-0.14,+0.72,-0.06,+0.04,-0.39
2018-10-22,18:04:24,-0.14,+0.72,-0.06,+0.04,-0.40
2018-10-22,18:04:34,-0.14,+0.72,-0.05,+0.02,-0.42
2018-10-22,18:04:45,-0.14,+0.73,-0.01,+0.03,-0.42
2018-10-22,18:04:56,-0.14,+0.76,-0.02,+0.03,-0.41
2018-10-22,18:05:06,-0.14,+0.76,+0.01,+0.03,-0.41
2018-10-22,18:05:17,-0.14,+0.77,+0.02,+0.03,-0.41
2018-10-22,18:05:27,-0.14,+0.82,+0.04,+0.04,-0.41
2018-10-22,18:05:38,-0.14,+0.81,+0.02,+0.05,-0.41
2018-10-22,18:05:49,-0.14,+0.85,+0.06,+0.04,-0.41
2018-10-22,18:06:00,-0.14,+0.87,+0.04,+0.04,-0.41
2018-10-22,18:06:10,-0.09,+0.86,+0.03,+0.04,-0.41
2018-10-22,18:06:21,-0.09,+0.82,+0.01,+0.04,-0.41
2018-10-22,18:06:31,-0.09,+0.80,-0.01,+0.06,-0.41
2018-10-22,18:06:42,-0.09,+0.81,0.00,+0.05,-0.41
2018-10-22,18:06:53,-0.09,+0.81,0.00,+0.06,-0.40
2018-10-22,18:07:04,-0.09,+0.80,-0.01,+0.07,-0.40
2018-10-22,18:07:15,-0.09,+0.80,-0.01,+0.07,-0.41
2018-10-22,18:07:26,-0.09,+0.76,-0.06,+0.06,-0.41
2018-10-22,18:07:37,-0.09,+0.75,-0.06,+0.06,-0.41
2018-10-22,18:07:47,-0.09,+0.71,-0.08,+0.07,-0.41
2018-10-22,18:07:59,-0.09,+0.72,-0.03,+0.07,-0.40
2018-10-22,18:08:09,-0.09,+0.73,-0.03,+0.07,-0.39
2018-10-22,18:08:19,-0.18,+0.74,-0.01,+0.07,-0.40
2018-10-22,18:08:30,-0.18,+0.73,-0.06,+0.07,-0.39
2018-10-22,18:08:41,-0.18,+0.71,-0.06,+0.07,-0.40
2018-10-22,18:08:51,-0.18,+0.70,-0.07,+0.07,-0.41
2018-10-22,18:09:02,-0.18,+0.69,-0.06,+0.07,-0.39
2018-10-22,18:09:12,-0.18,+0.70,-0.07,+0.07,-0.39
2018-10-22,18:09:22,-0.18,+0.71,-0.05,+0.07,-0.39
2018-10-22,18:09:33,-0.18,+0.71,-0.07,+0.08,-0.39
2018-10-22,18:09:44,-0.18,+0.70,-0.07,+0.07,-0.41
2018-10-22,18:09:55,-0.18,+0.68,-0.08,+0.10,-0.39
2018-10-22,18:10:06,-0.18,+0.68,-0.09,+0.10,-0.40
2018-10-22,18:10:17,-0.18,+0.64,-0.12,+0.10,-0.41
2018-10-22,18:10:27,-0.30,+0.61,-0.15,+0.11,-0.42
2018-10-22,18:10:38,-0.30,+0.60,-0.14,+0.10,-0.41
2018-10-22,18:10:49,-0.30,+0.59,-0.18,+0.12,-0.40
2018-10-22,18:11:00,-0.30,+0.58,-0.14,+0.12,-0.41
2018-10-22,18:11:10,-0.30,+0.59,-0.15,+0.12,-0.40
2018-10-22,18:11:21,-0.30,+0.58,-0.16,+0.11,-0.39
2018-10-22,18:11:31,-0.30,+0.57,-0.18,+0.12,-0.39
2018-10-22,18:11:42,-0.30,+0.55,-0.19,+0.12,-0.39
2018-10-22,18:11:53,-0.30,+0.56,-0.17,+0.11,-0.39
2018-10-22,18:12:04,-0.30,+0.56,-0.17,+0.08,-0.39
2018-10-22,18:12:15,-0.30,+0.55,-0.19,+0.09,-0.39
2018-10-22,18:12:25,-0.30,+0.55,-0.19,+0.09,-0.38
2018-10-22,18:12:35,-0.35,+0.55,-0.19,+0.09,-0.39
